DateTime	    ||Type||Log

09:19:2019 13:55:03||INFO||

09:19:2019 14:03:49||INFO||Pre-Condition setting done.

09:19:2019 14:03:50||INFO||Base url set to http://qa.backoffice-api.com

09:19:2019 14:03:50||INFO||

09:19:2019 14:05:14||INFO||Pre-Condition setting done.

09:19:2019 14:05:14||INFO||Base url set to http://qa.backoffice-api.com

09:19:2019 14:05:14||INFO||

09:19:2019 14:09:13||INFO||Pre-Condition setting done.

09:19:2019 14:09:14||INFO||Base url set to http://qa.backoffice-api.com

09:19:2019 14:09:14||INFO||

09:19:2019 14:11:58||INFO||Pre-Condition setting done.

09:19:2019 14:11:58||INFO||Base url set to http://qa.backoffice-api.com

09:19:2019 14:12:36||INFO||Pre-Condition setting done.

09:19:2019 14:12:37||INFO||Base url set to http://qa.backoffice-api.com

09:19:2019 14:12:58||INFO||Pre-Condition setting done.

09:19:2019 14:12:58||INFO||Base url set to http://qa.backoffice-api.com

09:19:2019 14:13:34||INFO||Pre-Condition setting done.

09:19:2019 14:13:35||INFO||Base url set to http://qa.backoffice-api.com

09:19:2019 14:13:35||INFO||

09:19:2019 15:14:38||INFO||Pre-Condition setting done.

09:19:2019 15:14:38||INFO||Base url set to http://qa.backoffice-api.com

09:19:2019 15:14:38||INFO||

09:19:2019 15:22:35||INFO||Pre-Condition setting done.

09:19:2019 15:22:35||INFO||Base url set to http://qa.backoffice-api.com

09:19:2019 15:22:35||INFO||

09:19:2019 15:23:05||INFO||Pre-Condition setting done.

09:19:2019 15:23:06||INFO||Base url set to http://qa.backoffice-api.com

09:19:2019 15:23:06||INFO||

09:19:2019 15:23:16||INFO||Pre-Condition setting done.

09:19:2019 15:23:16||INFO||Base url set to http://qa.backoffice-api.com

09:19:2019 15:23:38||INFO||

09:19:2019 15:25:35||INFO||Pre-Condition setting done.

09:19:2019 15:25:35||INFO||Base url set to http://qa.backoffice-api.com

09:19:2019 15:25:54||INFO||Pre-Condition setting done.

09:19:2019 15:25:54||INFO||Base url set to http://qa.backoffice-api.com

09:19:2019 15:25:57||INFO||

09:19:2019 15:26:29||INFO||Pre-Condition setting done.

